Pusgiwa Starry

iter: 293, loss: 10949.779297, content loss: 9114137.000000, style_loss: 457308.656250
iter: 294, loss: 10915.416016, content loss: 9082168.000000, style_loss: 456210.156250
iter: 295, loss: 10880.205078, content loss: 9050714.000000, style_loss: 454954.281250
iter: 296, loss: 10845.916992, content loss: 9029708.000000, style_loss: 452768.843750
iter: 297, loss: 10814.811523, content loss: 8986103.000000, style_loss: 453241.125000
iter: 298, loss: 10788.863281, content loss: 8991900.000000, style_loss: 449417.843750
iter: 299, loss: 10757.747070, content loss: 8933817.000000, style_loss: 451336.718750
iter: 300, loss: 10725.291016, content loss: 8901973.000000, style_loss: 450464.062500
iter: 301, loss: 10694.074219, content loss: 8883153.000000, style_loss: 448443.906250
iter: 302, loss: 10660.376953, content loss: 8859860.000000, style_loss: 446561.187500
iter: 303, loss: 10630.979492, content loss: 8839120.000000, style_loss: 444960.437500
iter: 304, loss: 10603.220703, content loss: 8802690.000000, style_loss: 445133.593750
iter: 305, loss: 10578.280273, content loss: 8776025.000000, style_loss: 444682.562500
iter: 306, loss: 10555.402344, content loss: 8760371.000000, style_loss: 443388.250000
iter: 307, loss: 10528.950195, content loss: 8730358.000000, style_loss: 443082.968750
iter: 308, loss: 10504.419922, content loss: 8717283.000000, style_loss: 441324.187500
iter: 309, loss: 10473.386719, content loss: 8684447.000000, style_loss: 440728.593750
iter: 310, loss: 10446.610352, content loss: 8674195.000000, style_loss: 438406.812500
iter: 311, loss: 10416.773438, content loss: 8639385.000000, style_loss: 438158.125000
iter: 312, loss: 10391.943359, content loss: 8605024.000000, style_loss: 438490.593750
iter: 313, loss: 10365.010742, content loss: 8589019.000000, style_loss: 436724.500000
iter: 314, loss: 10333.560547, content loss: 8557210.000000, style_loss: 435973.968750
iter: 315, loss: 10306.575195, content loss: 8532584.000000, style_loss: 435063.562500
iter: 316, loss: 10283.582031, content loss: 8516842.000000, style_loss: 433763.531250
iter: 317, loss: 10254.815430, content loss: 8486532.000000, style_loss: 433198.718750
iter: 318, loss: 10228.460938, content loss: 8474574.000000, style_loss: 431100.218750
iter: 319, loss: 10203.075195, content loss: 8441809.000000, style_loss: 431203.437500
iter: 320, loss: 10178.668945, content loss: 8415456.000000, style_loss: 430788.000000
iter: 321, loss: 10154.033203, content loss: 8392902.000000, style_loss: 429963.968750
iter: 322, loss: 10124.706055, content loss: 8366174.000000, style_loss: 428970.875000
iter: 323, loss: 10100.100586, content loss: 8360043.000000, style_loss: 426508.281250
iter: 324, loss: 10075.210938, content loss: 8321025.500000, style_loss: 427298.875000
iter: 325, loss: 10049.264648, content loss: 8299104.000000, style_loss: 426247.625000
iter: 326, loss: 10019.977539, content loss: 8274022.000000, style_loss: 425094.968750
iter: 327, loss: 9992.599609, content loss: 8250213.500000, style_loss: 424053.593750
iter: 328, loss: 9965.402344, content loss: 8225746.000000, style_loss: 423100.625000
iter: 329, loss: 9941.243164, content loss: 8202642.500000, style_loss: 422391.125000
iter: 330, loss: 9916.851562, content loss: 8176521.000000, style_loss: 421954.343750
iter: 331, loss: 9895.721680, content loss: 8163515.500000, style_loss: 420613.687500
iter: 332, loss: 9873.636719, content loss: 8138213.500000, style_loss: 420383.187500
iter: 333, loss: 9849.521484, content loss: 8119128.000000, style_loss: 419277.406250
iter: 334, loss: 9831.339844, content loss: 8097913.500000, style_loss: 419126.125000
iter: 335, loss: 9813.384766, content loss: 8080649.500000, style_loss: 418608.187500
iter: 336, loss: 9783.396484, content loss: 8048473.500000, style_loss: 418077.187500
iter: 337, loss: 9769.732422, content loss: 8057575.500000, style_loss: 415459.093750
iter: 338, loss: 9749.802734, content loss: 8018842.000000, style_loss: 416841.093750
iter: 339, loss: 9728.613281, content loss: 7998951.500000, style_loss: 416181.531250
iter: 340, loss: 9710.237305, content loss: 7977274.000000, style_loss: 416052.281250
iter: 341, loss: 9690.489258, content loss: 7963335.000000, style_loss: 414977.625000
iter: 342, loss: 9668.548828, content loss: 7944582.000000, style_loss: 414110.437500
iter: 343, loss: 9644.781250, content loss: 7928179.500000, style_loss: 412779.687500
iter: 344, loss: 9623.109375, content loss: 7905678.000000, style_loss: 412320.906250
